Company,First_Name,Last_Name,Email,Domain,License
TUBALE SAFARIS,,,info@tubalesafaris.com,tubalesafaris.com,UTB/RTT/TO/2022/100598
TMU RAFTING,,,tmurafting@gmail.com,,UTB/RTT/TO/2025/101579
TURAKOLI WILD SAFARIS,,,turakoliwildsafaris@gmail.com,,UTB/RTT/TO/2024/101061
Turigye Tours and Travels,,,turigyetours@gmail.com,,UTB/RTT/TO/2025/101556
Tukana Wild Safaris,,,turkanawildlifesafaris@gmail.com,,UTB/RTT/TO/2024/101295
TUSANGAIRE,,,jennifer.nantale@tusangaire.com,tusangaire.com,UTB/RTT/TO/2024/101490
UBUMWE TOURS AND TRAVEL,,,info@ubumwegorillatours.com,ubumwegorillatours.com,UTB/RTT/TO/2025/101855
UBUNTU UGANDA JOURNEYS,,,ubuntu10@gmail.com,,UTB/RTT/TO/2024/101120
Faraja Africa Foundation,,,ecocamp@farajaafricafdn.org,farajaafricafdn.org,UTB/RTT/TO/2025/101905
Adventure Boda Boda Tours Uganda,,,info@ugadventure-safaris.com,ugadventure-safaris.com,UTB/RTT/TO/2022/100274
Uganda Wildlife Safaris,,,info@uganda-wildlife-safaris.com,uganda-wildlife-safaris.com,UTB/RTT/TO/2019/0039
UGANDA SAFARIS AND EXCURSION,,,info@ugandaadventures.com,ugandaadventures.com,UTB/RTT/TO/2023/100734
Africa Tours Adventure,,,info@ugandagorillassafari.com,ugandagorillassafari.com,UTB/RTT/TO/2021/100024
Motorcycle Adventures Uganda,,,ugandamotorbikes@gmail.com,,UTB/RTT/TO/2021/100133
Lake Side Tours and Travels Limited,,,lakesidetoursandtravel@gmail.com,,UTB/RTT/TO/2022/100339
Uganda Safari Chapter,,,info@ugandasafarichapter.com,ugandasafarichapter.com,UTB/RTT/TO/2021/00100
African Roots Vacation,,,africanrootsv@gmail.com,,UTB/RTT/TO/2022/100314
Uganda Wildlife Scene LTD.,,,info@ugandawildlifescene.com,ugandawildlifescene.com,UTB/RTT/TO/2022/100567
Uhuru Adventures Limited,,,uhuruadventureslimited@gmail.com,,UTB/RTT/TO/2023/100860
UNTAMED WILDERNESS TRAVEL,,,untamedwildernesstravel@gmail.com,,UTB/RTT/TO/2024/101458
UNTERWEGS SAFARIS & TRAVEL LTD,,,info@unterwegssafaris.com,unterwegssafaris.com,UTB/RTT/TO/2024/101423
UNZIP AFRICA LIMITED,,,ivan@unzipafrica.com,unzipafrica.com,UTB/RTT/TO/2025/101778
Uriel,,,urieltoursandtravel@gmail.com,,UTB/RTT/TO/2024/100994
Active African Vacations Limited,,,info@vacation-safaris.com,vacation-safaris.com,UTB/RTT/TO/2020/0091
Valiant Safaris,,,info@valiantsafaris.com,valiantsafaris.com,UTB/RTT/TO/2021/00239
Vamos Tours and Travel,,,70.pascal@gmail.com,,UTB/RTT/TO/2023/100782
VAS SAFARIS,,,info@vastransportug.com,vastransportug.com,UTB/RTT/TO/2022/100534
Venture Uganda Travel,,,l.harris@ventureuganda.org,ventureuganda.org,UTB/RTT/TO/2019/00134
Viavia Adventures,,,traveluganda@viavia.world,viavia.world,UTB/RTT/TO/2024/101062
Violet Safaris Limited,,,violetsafarislimited@gmail.com,,UTB/RTT/TO/2019/00472
VIRUNGA ADVENTURE TOURS,,,Info@virungaadventures.com,virungaadventures.com,UTB/RTT/TO/2022/100324
Volcanoes Safaris Limited,,,enquiries@volcanoessafaris.com,volcanoessafaris.com,UTB/RTT/TO/2020/00145
Voyage Africa Eco-expeditions,,,voyageafricaecoexpeditionsug@gmail.com,,UTB/RTT/TO/2025/102011
Wagatil Safaris,,,info@wagatilsafaris.com,wagatilsafaris.com,UTB/RTT/TO/2024/101379
WALTERS TOURS UGANDA,,,walterstoursuganda@gmail.com,,UTB/RTT/TO/2023/100650
WARBLER TRAILS,,,warblertrails@gmail.com,,UTB/RTT/TO/2024/101349
WE TOUR AFRICA SAFARIS,,,info@wetourafricasafaris.com,wetourafricasafaris.com,UTB/RTT/TO/2025/101925
WHALEBILL TREKS AFRICA,,,whalebilltreks@gmail.com,,UTB/RTT/TO/2025/101856
LAMBULA WILD ADVENTURES,,,info@wildadventures.ug,wildadventures.ug,UTB/RTT/TO/2022/100283
Outback Adventure Safaris,,,info@wildadventuresafaris.com,wildadventuresafaris.com,UTB/RTT/TO/2020/00125
WILD BREEZE SAFARIS,,,inquiries@wildbreezesafaris.com,wildbreezesafaris.com,UTB/RTT/TO/2022/100516
Wild Celebrations Africa,,,wildcelebrationsafrica@gmail.com,,UTB/RTT/TO/2025/101962
BLAISE WILD ESCAPE SAFARIS,,,wildescapesafaris@gmail.com,,UTB/RTT/TO/2024/101288
Wild Expeditions Uganda,,,wildexpeditionsug@gmail.com,,UTB/RTT/TO/2021/00983
Wild Frontiers Uganda Safaris,,,info@wildfrontiers-uganda.com,wildfrontiers-uganda.com,UTB/RTT/TO/2019/00123
Wild Gallery Safaris,,,info@wildgallerysafaris.com,wildgallerysafaris.com,UTB/RTT/TO/2022/100190
WILDHEART AFRICAN SAFRAIS,,,info@wildheartsafarisafrica.com,wildheartsafarisafrica.com,UTB/RTT/TO/2024/101218
Wild Jungle Trails Limited,,,tours@wildjungletrails.com,wildjungletrails.com,UTB/RTT/TO/2022/100218
WILDLIFE ENCOUNTERS,,,info@wildlife-encounters.com,wildlife-encounters.com,UTB/RTT/TO/2023/100649
Wildlife Adventure Safaris,,,contact@wildlifeadventureuganda.com,wildlifeadventureuganda.com,UTB/RTT/TO/2022/100363
Wildmist Adventures,,,info@wildmistadventures.com,wildmistadventures.com,UTB/RTT/TO/2024/101079
PICK WILD SAFARIS UGANDA LIMITED,,,info@wildsafarisuganda.com,wildsafarisuganda.com,UTB/RTT/TO/2023/100681
Wild Travel Safaris,,,info@wildtravelsafaris.com,wildtravelsafaris.com,UTB/RTT/TO/2022/100437
Wild Untouched Adventure,,,info@away2uganda.com,away2uganda.com,UTB/RTT/TO/2022/100232
Wild Visit Uganda,,,info@wildvisituganda.com,wildvisituganda.com,UTB/RTT/TO/2023/100737
WOODCAMP ADVENTURES,,,info@woodcampadventures.com,woodcampadventures.com,UTB/RTT/TO/2025/102163
WORLD BLOSSOM SAFARIS LTD,,,info@worldblossomsafari.com,worldblossomsafari.com,UTB/RTT/TO/2023/100644
XA Gorilla Safaris,,,info@xagorillasafaris.com,xagorillasafaris.com,UTB/RTT/TO/2024/101143
Yako Africa,,,info@yakoafrica.com,yakoafrica.com,UTB/RTT/TO/2022/100626
Yala Safaris (U) Limited.,,,info@yalasafarisuganda.com,yalasafarisuganda.com,UTB/RTT/TO/2020/00408
YATIRIM AFRICA,,,yatirimafrica@gmail.com,,UTB/RTT/TO/2025/101839
Yobu Adventures Uganda Limited,,,info@yobuadventures.com,yobuadventures.com,UTB/RTT/TO/2023/100876
YoFiMai Adventures Uganda,,,yofimai256@gmail.com,,UTB/RTT/TO/2025/101598
ZAZU AFRICA SAFARIS,,,info@zazuafricasafaris.com,zazuafricasafaris.com,UTB/RTT/TO/2024/101066
ZEM SAFARIS UGANDA,,,zzirabae@gmail.com,,UTB/RTT/TO/2025/102041
ZAMUNDA TRAVELS UGANDA,,,info@zamundatravels.com,zamundatravels.com,UTB/RTT/TO/2026/102299
Zerimas Safaris,,,info@zerimasafaris.com,zerimasafaris.com,UTB/RTT/TO/2025/101539
